eb-01	2021-01-06	year, way, water, ufe, town	3	2,552,871	80	93,763,847
eb-02	2021-01-06	year, ufe, time, thefe, order	10	9,122,450	77	366,066,598
eb-03	2021-01-06	year, water, ufe, time, thefe	18	14,324,610	78	626,171,626
eb-04	2021-01-06	thefe, fome, fame, France, Europe	40	18,452,303	79	670,391,662
eb-05	2021-01-06	year, water, time, thefe, order	20	14,670,795	79	667,983,291
eb-06	2021-01-06	year, time, history, Vol, Spain	20	10,162,312	78	661,631,104
eb-07	2021-01-06	history, french, british, William, Thomas	22	15,054,241	75	812,442,807
eb-08	2021-01-06	time, roman, history, french, british	21	18,623,638	72	837,144,522
luther-from-gutenberg	2021-01-11	God, Christ, Lord, Word, Paul	14	889,749	80	32,733,727
bronte	2021-01-11	little, time, little, hand, God, young, Mrs., Rochester, young, Moore	4	602,432	84	79,943,904
horace-wikipedia	2021-01-06	Wikipedia, roman, Rome, Empire, University	907	3,623,932	67	182,384,491
longfellow-gutenberg	2021-01-06	like, God, illustration, time, think	8	153,298	90	9,060,858
marlowe-from-gutenberg	2021-01-11	Footnote, theridamas, king, Zenocrate, TAMBURLAINE	8	154,998	94	9,574,870
new-years-eve	2021-01-06	Mr., like, Paul, look, New	5	542,841	85	23,499,600
shakespeare-sonnets	2021-01-06	love, thy, thou, Muse, thee	154	19,222	95	4,825,770
subject-knowledge-from-gutenberg	2021-01-06	God, man, mind, idea, thing	30	2,297,445	69	82,275,155
cezanne	2021-01-11	man, God, New, life, like	25	2,160,121	79	83,908,972
virgil-gutenberg	2021-01-06	thy, thou, wind, water, tree	5	143,643	88	8,805,314
whats-eric-reading	2021-01-11	University, datum, machine, system, library	19	183,452	54	63,124,177
china	2021-01-11	China, COVID-19, SARS, Wuhan, chinese	84	357,983	51	18,440,462
horace	2021-01-06	ODES, man, EPODES, ODE, thing	162	80,154	73	44,582,264
homer	2021-01-06	Trojans, Achaeans, Ulysses, Jove, Hector	48	271,708	79	12,892,918
alcott-from-gutenberg	2021-01-11	Mrs., little, Miss, good, like	25	1,505,225	86	55,292,734
alger-from-gutenberg	2021-01-11	Mr., Mrs., New, Tom, York	60	2,842,820	91	102,123,750
aristotle-from-gutenberg	2021-01-11	man, Aristotle, poet, law, good	6	290,739	66	12,901,456
bacon-from-gutenberg	2021-01-11	man, great, God, time, thing	3	69,212	73	5,775,002
